id,created_at,age,username,ai_knowledge,ai_attitude,ai_reliance,gender
09be7f1b-cd7d-422d-84a5-0e26bc0b5253,2025-12-18 19:22:11.623131+00,56,,1,2,2,weiblich
127fd8bc-2bb2-4f9a-87c6-a5e8ad6ba444,2025-12-17 21:14:50.485882+00,54,,1,2,2,weiblich
14361df5-2a2d-4649-bf2a-0bc9b8d196b2,2025-12-15 11:00:06.466627+00,,,1,1,5,
14449cc1-3371-453a-9b2e-d5bc806ba38b,2025-12-18 20:08:35.788722+00,,,5,4,4,
1dbabc5d-f5dd-4058-a4cf-31666b7fb5be,2025-12-20 16:01:35.433498+00,,,1,3,2,
1f509745-5e8a-430f-b784-7c833938f4ff,2025-12-17 19:22:50.433758+00,23,,4,4,3,männlich
227f6dae-58cc-4c7b-add9-efe07ea31cd6,2025-12-17 08:31:49.924956+00,40,,5,5,4,männlich
2dfa4841-eece-4d6a-ae44-e716b439c817,2025-12-15 17:57:45.352724+00,23,,1,5,4,männlich
3431041b-fa44-4322-9143-8f41ce235fea,2025-12-17 21:14:50.932248+00,54,,1,2,2,weiblich
39ef4c7f-6936-4e39-8f96-70b26a152626,2025-12-19 23:03:46.987873+00,44,,4,4,2,weiblich
3ce6c37e-a55b-4754-8d11-29a14c7f70e9,2025-12-19 21:06:05.660197+00,,,4,2,2,
4444f64d-8ee7-4e4b-8178-1ed4d9d9dec3,2025-12-18 20:08:35.381984+00,,,5,4,4,
45e61cc6-bf9b-4aca-86ce-79a008347507,2025-12-15 21:26:35.634782+00,23,,1,5,5,männlich
4660b1e7-76a6-4881-96c3-c5884787e706,2025-12-15 17:56:37.533858+00,,,1,5,4,
476b827b-35fa-40cc-a6de-1bc5dbad53da,2025-12-19 21:13:36.529575+00,,,3,3,4,
48855d8f-fb68-4618-8822-9793623ee383,2025-12-21 11:56:13.290795+00,84,,2,4,3,männlich
49d84d7b-d503-49b0-b42c-40ea1a45ea63,2025-12-20 16:01:35.089919+00,,,1,3,2,
51fd4827-8b21-437e-a10d-b7a6f9590532,2025-12-17 10:19:43.555013+00,48,,1,5,4,männlich
55b83b64-fc65-4553-ac45-91d952b42aef,2025-12-17 08:28:22.124064+00,40,,5,5,4,männlich
5b62857f-8b0c-4899-b9ee-b3a9b94d3d74,2025-12-20 17:20:55.036393+00,55,,5,3,2,weiblich
5d662830-b6ff-4c77-9c88-a71cd7f2b104,2025-12-17 08:09:45.567287+00,39,,5,5,5,weiblich
61605d12-ffcf-418f-9b8e-88bad389dd26,2025-12-15 19:52:36.836072+00,7,,4,4,3,
77222e25-1b6e-46cd-b9a8-2522ac3a915e,2025-12-20 05:25:29.439135+00,36,,2,4,4,männlich
7d0ba828-274a-4bae-b4b9-62c49d575f72,2025-12-16 09:59:25.218746+00,19,,1,3,2,weiblich
7ecfcf3a-706b-4b23-bb4d-74f29bd401b5,2025-12-15 17:49:59.071178+00,24,,1,3,2,weiblich
87a46386-50a7-4051-ae67-2e0fb1b26a10,2025-12-18 19:50:20.528672+00,45,,3,3,3,
89f6ab09-7960-4370-8ab1-3f4f24b9201f,2025-12-17 21:16:11.247283+00,54,,1,1,2,
8a34451a-b932-4950-8891-5269fd367123,2025-12-15 17:29:06.87334+00,21,,1,3,2,
8a8b71e4-58ae-4e6b-9db3-1f6e783a12b0,2025-12-15 10:49:45.991822+00,23,,2,4,4,männlich
8d4d4aa8-db02-42db-847b-07a5f5a8d55a,2025-12-16 12:49:16.066272+00,,,4,4,2,
97b1cb0e-a844-4db9-890d-1e2d486813e4,2025-12-15 15:15:36.375227+00,24,,4,3,4,männlich
97f2ec60-a824-4969-8f3e-e59423737c2b,2025-12-15 20:35:16.907876+00,,,,,,weiblich
98bba7ac-c4c9-4425-b606-a2f018c4696c,2025-12-15 18:05:40.695566+00,16,,2,2,3,männlich
a17af971-3288-4985-a785-d12fb74f4eac,2025-12-15 15:17:10.494324+00,24,,4,3,4,
a255836b-ec7c-4f75-8600-bf2f31c55c41,2025-12-15 15:26:53.591855+00,,,4,4,4,
a8baacd6-6bf8-43b5-946e-77b3aa2db76b,2025-12-20 07:34:17.218096+00,57,,3,5,3,männlich
b18d656a-3abe-4d5d-aec1-9ee1402e2e45,2025-12-14 18:38:58.222803+00,55,,5,4,4,weiblich
b36e7c2b-a955-4c7a-be14-7828ed570f80,2025-12-20 17:43:24.990307+00,42,,4,4,1,männlich
b44cd424-2c3a-49e8-b142-50b11cf3a9e1,2025-12-15 21:00:52.337076+00,55,,3,3,3,
b7b4471d-7aa1-44da-87d3-414e843915b8,2025-12-15 15:42:13.165916+00,16,,3,3,3,männlich
be3b5c09-da8e-4c80-b4bd-8a42322f3c36,2025-12-18 19:45:46.891034+00,45,,1,5,5,weiblich
bff7134b-ff1b-4fe9-a1e1-37dbd687785f,2025-12-21 09:57:47.963698+00,64,,4,2,2,männlich
cb28a50a-6a80-4eca-bb53-fe98abedef5f,2025-12-15 20:40:59.094915+00,21,,2,5,5,weiblich
cd6a3e3c-3688-4546-9740-2795806a2cb5,2025-12-15 16:03:09.293763+00,20,,3,3,2,weiblich
d6f7e658-63f2-4691-a0b1-6cd30a2af70d,2025-12-16 14:28:34.296791+00,22,,5,4,4,männlich
d7cf5e60-3f10-462f-9e74-c9c5eae7bdf0,2025-12-16 09:59:25.897321+00,19,,1,3,2,weiblich
dc6f311c-37a7-4656-8617-8c130c8d1834,2025-12-16 11:17:48.932684+00,19,,1,4,4,männlich
dfa0cbb6-710b-480c-8c42-be3e3c917e2d,2025-12-18 20:30:26.040918+00,57,,2,4,3,weiblich
e04c7f57-7945-4660-b70c-9627b13e590b,2025-12-15 20:57:41.196144+00,55,,4,4,3,weiblich
e1210345-863b-45e9-be8a-1651a2bd00a8,2025-12-18 19:50:15.124296+00,17,,5,3,3,männlich
e26895b4-223c-4e2e-82eb-c1a8d3768d93,2025-12-19 08:47:59.441239+00,35,,4,5,4,männlich
e9510cb5-29fa-4b53-ba37-fb20c0e34ea7,2025-12-20 05:25:28.926272+00,36,,2,4,4,männlich
eb9f3a31-29e2-44c7-9b47-29aa81ec5707,2025-12-17 15:55:17.824708+00,23,,2,5,3,männlich
ecf97d9a-4cad-4554-adfe-0ac7db6dce20,2025-12-19 20:49:02.230005+00,,,3,2,2,
